,confidence,orig,name,school
223,partial-100,The London School of Economics and Political Science,"London School of Economics and Political Science, University of London",
224,not changed,"Indian Institute of Management, Calcutta","Indian Institute of Management, Calcutta",
225,high,University of Kent,University of Kent,
226,partial-100,University in St. Louis,Washington University in St. Louis,
227,high,University of AmsterdamUniversity of Amsterdam,University of Amsterdam,
228,high,Brandeis University,Brandeis University,
229,high,Case Western Reserve University School of Medicine,Case Western Reserve University,school of medicine
230,high,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science & Technology,
231,high,SVKM's Narsee Monjee Institute of Management Studies (NMIMS),Narsee Monjee Institute of Management Studies,
232,high,Yale University - Yale School of Management,Yale University,school of management
233,token-100,Università Commerciale 'Luigi Bocconi'​,Università Bocconi,
234,high,University of Southern California - Marshall School of Business,University of Southern California,marshall school of business
235,high,University of Wisconsin-La Crosse,University of Wisconsin - La Crosse,
236,high,University of Minnesota Twin Cities,University of Minnesota,
237,token-100,Università Commerciale 'Luigi Bocconi',Università Bocconi,
238,exactmatch,University of Michigan Medical/Graduate School,University of Michigan,Medical School
239,high,University of Wyoming College of Business,University of Wyoming,college of business
240,ratio-94,"University of Nevada, Reno",University of Nevada - Reno,
241,high,Queen's University,Queen's University,
242,not changed,Technical University Berlin,Technical University Berlin,
243,high,Northern Illinois University,Northern Illinois University,
244,high,The Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,
245,high,Columbia University - Columbia Business School,Columbia University,business school
246,high,MIT,Massachusetts Institute of Technology,
247,high,University of Oxford (Lincoln College),University of Oxford,lincoln college
248,not changed,Paris School of Economics,Paris School of Economics,
249,high,Queen Mary University of London,Queen Mary University of London,
250,not changed,IPADE Business School,IPADE Business School,
251,high,University of Milan-Bicocca,University of Milan - Bicocca,
252,partial-100,Sciences Po,Institut d'Etudes Politiques de Paris (Sciences Po),
253,high,The University of Kansas,University of Kansas,
254,high,Southern Methodist University - Cox School of Business,Southern Methodist University,cox school of business
255,high,Instituto Tecnológico Autónomo de México,Instituto Tecnológico Autonómo de México,
256,high,Rockhurst University,Rockhurst University,
257,high,"University of California, Santa Cruz","University of California, Santa Cruz",
258,high,Boston College Law School,Boston College,law school
259,high,Caltech,California Institute of Technology,
260,high,Rutgers University–New Brunswick,Rutgers University,
261,exactmatch,Pierre and Marie Curie University,Université Pierre et Marie Curie (Paris VI),
262,high,Pennsylvania State University,Pennsylvania State University,
263,high,The Chinese University of Hong Kong,Chinese University of Hong Kong,
264,high,University of Massachusetts Amherst,University of Massachusetts at Amherst,
265,not changed,Fielding Graduate University,Fielding Graduate University,
266,high,The Johns Hopkins University - Carey Business School,Johns Hopkins University,carey business school
267,high,University of Oregon,University of Oregon,
268,high,Harvard Kennedy School,Harvard University,kennedy school
269,high,UNIVERSITY OF CALIFORNIA – BERKELEY,"University of California, Berkeley",
270,high,University of Delaware,University of Delaware,
271,not changed,"CFA Institute, The Global Association of Investment Professionals","CFA Institute, The Global Association of Investment Professionals",
272,exactmatch,Maastricht University School of Business and Economics,University of Maastricht,School of Business and Economics
273,token-96,Paris 1 Panthéon-Sorbonne University,Université Panthéon-Sorbonne (Paris I),
274,ratio-93,Johannes Gutenberg University Mainz,Johannes-Gutenberg Universität Mainz,
275,high,Rutgers University,Rutgers University,
276,not changed,Santa Barbara City College,Santa Barbara City College,
277,not changed,Université Paris-Saclay,Université Paris-Saclay,
278,high,University of Cincinnati College of Business,University of Cincinnati,college of business
279,high,Fundação Getulio Vargas,Fundação Getulio Vargas,
280,high,University of California - Los Angeles,"University of California, Los Angeles",
281,high,Tilburg University,Tilburg University,
282,not changed,Aalto University,Aalto University,
283,high,University of Geneva,University of Geneva,
284,high,The Pennsylvania State University,Pennsylvania State University,
285,not changed,Supply Chain Management,Supply Chain Management,
286,exactmatch,University of California Los Angeles (Anderson School),"University of California, Los Angeles",Anderson School of Management
287,high,Texas Tech University,Texas Tech University,
288,high,New York University Stern School  of Business,New York University,stern school of business
289,high,University of Utah - David Eccles School of Business,University of Utah,david eccles school of business
290,high,University of Michigan School of Public Health,University of Michigan,school of public health
291,high,"University of California, Berkeley - School of Law","University of California, Berkeley",school of law
292,partial-100,London School of Economics,"London School of Economics and Political Science, University of London",
293,high,Indira Gandhi National Open University,Indira Gandhi National Open University,
294,exactmatch,UT Health San Antonio,University of Texas at San Antonio,School of Health
295,not changed,Université Lumière Lyon 2,Université Lumière Lyon 2,
296,high,University of York,University of York,
297,high,Monash University,Monash University,
298,high,University of Chicago Law School,University of Chicago,law school
299,high,The University of Toledo,University of Toledo,
300,high,The University of Iowa Tippie College of Business,University of Iowa,tippie college of business
301,high,UC Santa Barbara,"University of California, Santa Barbara",
302,high,University of Toronto - Rotman School of Management,University of Toronto,rotman school of management
303,high,HKUST Business School,Hong Kong University of Science and Technology,business school
304,high,Smith School of Business at Queen's University,Queen's University,smith school of business
305,high,University of London,University of London,
306,partial-100,European Academy,European Academy of Arts in Warsaw,
307,high,Bilkent University,Bilkent University,
308,high,University of Minnesota Law School,University of Minnesota,law school
309,high,Hong Kong University Of Science And Technology,Hong Kong University of Science and Technology,
310,high,University Of Chicago,University of Chicago,
311,high,University Of Virginia,University of Virginia,
312,high,Nanjing University,Nanjing University,
313,high,University Of International Business & Economics,University of International Business and Economics,
314,high,University Of Michigan--Ann Arbor,University of Michigan,
315,high,Sarah Lawrence College,Sarah Lawrence College,
316,high,Grove City College,Grove City College,
317,high,Wittenberg University,Wittenberg University,
318,high,University Of Tulsa,University of Tulsa,
319,high,Wuhan University,Wuhan University,
320,high,Universidade Catolica Portuguesa,Universidade Catolica Portuguesa,
321,high,Sharif University Of Technology,Sharif University of Technology,
322,high,University Of Sydney,University of Sydney,
323,high,State University Of New York At Stony Brook,State University of New York at Stony Brook,
324,ratio-94,Delhi University,Adelphi University,
325,high,University Of Pennsylvania,University of Pennsylvania,
326,high,"University Of California, Los Angeles","University of California, Los Angeles",
327,high,Grinnell College,Grinnell College,
328,high,Universidad De Guadalajara,Universidad de Guadalajara,
329,not changed,Hautes Etudes Commerciales-Liege,Hautes Etudes Commerciales-Liege,
330,high,Nankai University,Nankai University,
331,high,University Of Texas At Austin,University of Texas,
332,high,University Of Alabama at Birmingham,University of Alabama - Birmingham,
333,not changed,Universita Commerciale 'luigi Bocconi',Universita Commerciale 'luigi Bocconi',
334,not changed,Lady Shri Ram College For Women,Lady Shri Ram College For Women,
335,high,University Of Wisconsin-Madison,University of Wisconsin - Madison,
336,high,Middlebury College,Middlebury College,
337,ratio-92,Instituto Tecnologico Autonomo de Mexico,Instituto Tecnológico Autonómo de México,
338,high,Colby College,Colby College,
339,high,Mount Holyoke College,Mount Holyoke College,
340,high,Yazd University,Yazd University,
341,high,University Of Hong Kong,University of Hong Kong,
342,not changed,The Chinese Univ. of Hong Kong,The Chinese Univ. of Hong Kong,
343,high,Universidad Nacional De Colombia,Universidad Nacional de Colombia,
344,high,State University - Higher School of Economics,Higher School of Economics,
345,high,Morehouse College,Morehouse College,
346,high,Covenant University,Covenant University,
347,high,Vilnius Gediminas Technical University,Vilnius Gediminas Technical University,
348,high,Ivan Franko National University of Lviv,National University,
349,high,University Of Tehran,University of Tehran,
350,high,Colorado State University,Colorado State University,
351,high,University Of Warwick,University of Warwick,
352,high,Fudan University,Fudan University,
353,high,Liaoning Normal University,Liaoning Normal University,
354,high,University of London-London School of Economics & Political Sci,University of London,london school of economics & political sci
355,high,Macalester College,Macalester College,
356,high,Soka University,Soka University,
357,high,Ohio State University,Ohio State University,
358,partial-100,ITAM,Hokkaigakuen University of Kitami,
359,high,Chinese University Of Hong Kong,Chinese University of Hong Kong,
360,high,University Of Southern California,University of Southern California,
361,high,Korea University,Korea University,
362,high,Reed College,Reed College,
363,not changed,Budapesti Corvinus Egyetem,Budapesti Corvinus Egyetem,
364,high,University Of Delhi,University of Delhi,
365,high,University College London,University College London,
366,ratio-92,Universidad Pompeu Fabra,Universitat Pompeu Fabra,
367,high,Oberlin College,Oberlin College,
368,ratio-93,Russian-Armenian (Slavonic) University,Russian-Armenian (Slavonic) State University,
369,not changed,Universita Degli Studi Di Torino,Universita Degli Studi Di Torino,
370,high,Williams College,Williams College,
371,high,Claremont McKenna College,Claremont McKenna College,
372,high,University Of Missouri--Columbia,University of Missouri - Columbia,
373,high,Smith College,Smith College,
374,high,Bogazici University,Bogazici University,
375,high,National Chengchi University,National Chengchi University,
376,ratio-91,"Rutgers, The State University Of New Jersey","Rutgers, The State University of New Jersey - Camden",
377,high,University of St. Gallen,University of St. Gallen,
378,high,University Of Tokyo,University of Tokyo,
379,high,National Taipei University,National Taipei University,
380,high,North Carolina State University At Raleigh,North Carolina State University,
381,not changed,Universitat Bern,Universitat Bern,
382,ratio-91,University Of The Phillippines,University of Northern Philippines,
383,high,University Of Florida,University of Florida,
384,high,University Of Cambridge-Queen's College,University of Cambridge,queen's college
385,high,Universite Catholique de Louvain,Université Catholique de Louvain,
386,high,"University Of California, Davis","University of California, Davis",
387,high,University Of Maryland At College Park,University of Maryland,college park
388,high,Allegheny College,Allegheny College,
389,high,University Of Washington,University of Washington,
390,high,University Of Amsterdam,University of Amsterdam,
391,not changed,"St. Xavier's College, Kolkata","St. Xavier's College, Kolkata",
392,high,University Of British Columbia,University of British Columbia,
393,high,Nanyang Technological University,Nanyang Technological University,
394,high,University Of Cambridge-Wolfson College,University of Cambridge,wolfson college
395,ratio-92,University Pantheon Assas (paris Ii),Université Panthéon-Assas (Paris II),
396,high,Universidad De Chile,Universidad de Chile,
397,ratio-94,University Of Copenhagen,IT University of Copenhagen,
398,high,Pontificia Universidad Javeriana,Pontificia Universidad Javeriana,
399,high,Wellesley College,Wellesley College,
400,high,Beijing Normal University,Beijing Normal University,
401,high,Harbin Normal University,Harbin Normal University,
402,ratio-93,Ecole Nationale de la Statistique et de l'Admin Economique,Ecole Nationale de la Statistique et de l'Administration Economique,
403,not changed,Universita Degli Studi Di Padova,Universita Degli Studi Di Padova,
404,high,Sri Sathya Sai Institute of Higher Learning,Sri Sathya Sai Institute of Higher Learning,
405,ratio-94,Miami University,Misamis University,
406,high,University Of Cambridge-Corpus Christi College,University of Cambridge,corpus christi college
407,high,Yerevan State University,Yerevan State University,
408,high,Zhejiang University,Zhejiang University,
409,high,Harvard College,Harvard University,college
410,high,Johns Hopkins University,Johns Hopkins University,
411,high,Elmira College,Elmira College,
412,high,Universidad De Los Andes,Universidad de Los Andes,
413,high,Shanghai Institute Of Foreign Trade,Shanghai Institue of Foreign Trade,
414,high,"Wimbledon School of Art, University of Surrey",University of Surrey,wimbledon school of art
415,high,Clark University,Clark University,
416,high,Brigham Young University,Brigham Young University,
417,high,Universidad De San Andres,Universidad de San Andres,
418,partial-100,Sun Yat-Sen University,Sun Yat-Sen University of Medical Sciences,
419,not changed,"School of Liberal Studies, PDPU","School of Liberal Studies, PDPU",
420,not changed,"Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften","Hochschule fur Wirtschafts-, Rechts- und Sozialwissenschaften",
421,high,Universidad Nacional De Cordoba,Universidad Nacional de Córdoba,
422,high,"University Of California, Santa Barbara","University of California, Santa Barbara",
423,high,University Of New South Wales,University of New South Wales,
424,high,McGill University,McGill University,
425,partial-100,Institut D'etudes Politiques,Institut d'Etudes Politiques de Bordeaux,
426,partial-100,Trinity College,Trinity College Connecticut,
427,high,Universidad ORT Uruguay,Universidad ORT Uruguay,
428,not changed,Instituto Torcuato Di Tella,Instituto Torcuato Di Tella,
429,not changed,University Of Sao Paulo,University Of Sao Paulo,
430,high,Washington And Lee University,Washington and Lee University,
431,high,University Of Vermont and State Agricultural College,University of Vermont,and state agricultural college
432,token-97,Instituto TecnolÃ³gico AutÃ³nomo de MÃ©xico,Instituto Tecnológico Autonómo de México,
433,high,University Of Rochester,University of Rochester,
434,high,University Of Pune,University of Pune,
435,high,Kobe University,Kobe University,
436,high,Villanova University,Villanova University,
437,high,Thammasat University,Thammasat University,
438,high,Renmin University Of China In Beijing,Renmin University of China,
439,partial-100,University Of Nebraska,University of Nebraska - Kearney,
440,high,Universidad Carlos Iii De Madrid,Universidad Carlos III de Madrid,
441,high,University Of New Mexico,University of New Mexico,
442,not changed,Goethe University,Goethe University,
443,high,Lahore University Of Management Sciences,Lahore University of Management Sciences,
444,ratio-91,University Of Montreal,University of Montevallo,
445,ratio-93,Technische Universitat Munchen,Technische Universität München,
446,high,University Of Iowa,University of Iowa,
447,high,Southwest University Of Finance & Economics,Southwest University of Finance and Economics,
448,high,Indiana Wesleyan University,Indiana Wesleyan University,
449,not changed,Ural Federal University,Ural Federal University,
450,high,Universidad Nacional De Cuyo,Universidad Nacional de Cuyo,
451,high,Tel Aviv University,Tel Aviv University,
452,high,National University Of Singapore,National University of Singapore,
453,high,Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,
454,high,Case Western Reserve University,Case Western Reserve University,
455,high,University Of St Andrews,University of St. Andrews,
456,ratio-94,Universita Bocconi,Università Bocconi,
457,high,Singapore Management University,Singapore Management University,
458,not changed,Universite De Lausanne,Universite De Lausanne,
459,high,"University Of California, Berkeley","University of California, Berkeley",
460,high,Millsaps College,Millsaps College,
461,high,Calvin College,Calvin College,
462,not changed,St Xavier's College,St Xavier's College,
463,high,Xiamen University,Xiamen University,
464,high,City University Of Hong Kong,City University of Hong Kong,
465,high,Korea Advanced Institute Of Science And Technology,Korea Advanced Institute of Science & Technology,
466,high,University Of Kansas,University of Kansas,
467,high,National Research University Higher School of Economics,Higher School of Economics,
468,high,Central University Of Finance And Economics,Central University of Finance and Economics,
469,high,Indian Institute of Technology,Indiana Institute of Technologyy,
470,high,University Of Michigan--Dearborn,University of Michigan - Dearborn,
471,high,University Of Adelaide,University of Adelaide,
472,ratio-92,Instituto Tecnologico y de Estudios Superiores de Monterrey,Instituto Tecnológico y de Estudios Superiores de Monterrey (ITESM),
473,high,University of Dhaka,University of Dhaka,
474,partial-100,Erasmus University,Erasmus University Rotterdam,
475,not changed,Universita Degli Studi Roma Tre,Universita Degli Studi Roma Tre,
476,high,"University of Delhi, Hansraj College",University of Delhi,hansraj college
477,high,Swarthmore College,Swarthmore College,
478,high,Universidad Nacional Autonoma De Mexico,Universidad Nacional Autónoma de México,
479,ratio-94,National Chung Hsing University,National Chung Cheng University,
480,high,Universidade Nova De Lisboa,Universidade Nova de Lisboa,
481,high,Universidad de Piura,Universidad de Piura,
482,high,Wabash College,Wabash College,
483,high,Kazakh National University,National University,
484,high,Utrecht University,Utrecht University,
485,high,American University Of Beirut,American University of Beirut,
486,not changed,National Insitute for Lifelong Education,National Insitute for Lifelong Education,
487,high,National Taiwan University,National Taiwan University,
488,high,Isfahan University of Technology,Isfahan University of Technology,
489,not changed,Oporto University,Oporto University,
490,high,California Institute Of Technology,California Institute of Technology,
491,not changed,INSPER (Institute of Education and Research),INSPER (Institute of Education and Research),
492,not changed,UniversitÃ© de Lausanne,UniversitÃ© de Lausanne,
493,high,Amirkabir University of Technology,Amirkabir University of Technology,
494,high,University Of Science and Technology Of China,University of Science and Technology of China,
495,high,"Tishreen University, Lattakia, Syria",Tishreen University,
496,high,Hebrew University Of Jerusalem,Hebrew University of Jerusalem,
497,high,Sogang University,Sogang University,
498,partial-96,Stella Maris College,Marist College,
499,ratio-94,Eberhard-Karls-Universitat Tubingen,Eberhard-Karls-Universität Tübingen,
500,not changed,Fundacao Gertulio Vargas,Fundacao Gertulio Vargas,
501,high,Amherst College,Amherst College,
502,high,University Of Arizona,University of Arizona,
503,high,Hanyang University ERICA,Hanyang University,
504,high,"University Of California, Irvine","University of California, Irvine",
505,high,Middle East Technical University,Middle East Technical University,
506,high,"Barnard College, Columbia University",Barnard College - Columbia University,
507,high,Carleton College,Carleton College,
508,partial-100,MZUMBE UNIVERSITY,Mzumbe University (Chuo Kikuu Mzumbe),
509,high,University Of Cambridge-Trinity College,University of Cambridge,trinity college
510,high,Hamilton College,Hamilton College,
511,high,University Of Wisconsin--Madison,University of Wisconsin - Madison,
512,not changed,Universite De Paris I (pantheon-Sorbonne),Universite De Paris I (pantheon-Sorbonne),
513,not changed,People's University Of China,People's University Of China,
